"ISO3","mean","median","sd","min","max","pct10","pct25","pct75","pct09"
"ABW",1681.43974902344,1612.25793457031,497.076190851761,1120.65844726562,2894.84252929688,1158.17114257812,1279.67346191406,1798.21240234375,2582.92543945313
"AIA",1548.60607111565,1436.83801269531,416.983718579801,1112.00183105469,2888.60424804688,1139.09699707031,1240.90905761719,1717.45379638672,2134.61320800781
"ATG",1547.69254716415,1324.30310058594,506.231602471268,1111.54675292969,2885.07983398438,1136.67302246094,1219.072265625,1691.76977539062,2545.48759765625
"BES",1666.28514946832,1441.60375976562,510.01796730761,1111.71765136719,2871.9140625,1164.64862060547,1289.55047607422,1838.87872314453,2550.05314941406
"BHS",1666.9813272874,1453.52709960938,521.596272890534,1110.80212402344,2899.72094726562,1129.21063232422,1239.87286376953,1918.27560424805,2577.35041503906
"BLM",1405.34087117513,1198.22064208984,415.144971059202,1112.12451171875,2748.216796875,1115.59665527344,1129.38064575195,1572.37310791016,1854.65927734375
"BRB",1990.16201132391,1881.71887207031,420.16417539797,1198.02392578125,2895.72973632812,1402.3349609375,1716.53424072266,2410.35681152344,2559.1748046875
"CUB",1905.99876501424,1810.41320800781,563.182829938359,1111.05883789062,2897.1806640625,1171.58297119141,1398.369140625,2452.3251953125,2717.43701171875
"CUW",1977.95043167795,1841.50952148438,448.753732455898,1254.18176269531,2892.13525390625,1444.49704589844,1632.11193847656,2424.58471679688,2579.89877929688
"CYM",2350.11285859036,2502.20654296875,446.224291258928,1204.73510742188,2895.83959960938,1671.93762207031,1947.64358520508,2703.03247070312,2811.43371582031
"DMA",2198.94272732205,2429.787109375,528.965077615888,1166.04748535156,2819.9384765625,1406.62153320313,1669.25720214844,2663.23950195312,2731.04970703125
"DOM",1807.68017775883,1676.67993164062,559.99168321057,1116.431640625,2899.5380859375,1195.63251953125,1310.78833007812,2379.40734863281,2689.06752929687
"GLP",1704.67088822241,1694.52600097656,418.321785982824,1117.98840332031,2899.404296875,1217.23796386719,1329.83856201172,1909.70367431641,2368.60844726563
"GRD",1965.75944610762,1761.61743164062,675.44360802368,1116.51672363281,2889.287109375,1175.41398925781,1337.77618408203,2757.41625976562,2864.888671875
"HTI",1893.09569392372,1797.24890136719,493.002575265461,1111.23352050781,2899.76123046875,1287.96430664062,1563.14135742188,2356.11791992188,2664.1634765625
"JAM",1718.38932437537,1620.45831298828,482.514710696972,1111.27221679688,2883.19165039062,1199.06744384766,1325.00009155273,1919.34887695312,2577.7671875
"KNA",1460.50359889439,1410.27801513672,201.029296210916,1130.91369628906,1841.58068847656,1213.54400634766,1295.97027587891,1653.80276489258,1698.32880859375
"LCA",2078.10179497786,1912.56591796875,565.152586721577,1162.72717285156,2881.54028320312,1368.35690917969,1680.28076171875,2777.03955078125,2864.112109375
"MAF",1392.77491251628,1381.68682861328,231.005314352006,1110.87292480469,1756.68591308594,1112.64957275391,1181.8415222168,1600.85150146484,1671.95047607422
"MSR",1636.53538574219,1622.99365234375,192.556106124775,1195.25610351562,1982.6953125,1399.50786132812,1442.98083496094,1783.45910644531,1886.7498046875
"MTQ",2238.4880483139,2454.03149414062,583.951445031241,1120.068359375,2866.77197265625,1314.53723144531,1753.59393310547,2759.73718261719,2832.82836914062
"PRI",1866.09327717069,1752.67163085938,581.131282950347,1111.52258300781,2897.74340820312,1189.87689208984,1315.9111328125,2422.17535400391,2754.11901855469
"SXM",1293.08787027995,1309.28466796875,123.893797303233,1115.04211425781,1446.42578125,1151.26684570312,1215.01455688477,1373.49526977539,1418.71209716797
"TCA",1593.91677994465,1337.39428710938,503.659633291988,1117.20935058594,2891.35693359375,1168.609765625,1219.31494140625,1849.97448730469,2495.71005859375
"TTO",1525.6088908708,1502.58520507812,378.628555268931,1111.79968261719,2461.8583984375,1120.53815917969,1141.97756958008,1817.20831298828,1949.84725341797
"VCT",2230.50335105613,2458.75061035156,608.19352101163,1111.28198242188,2890.54272460938,1300.03225097656,1717.68957519531,2844.26080322266,2882.53310546875
"VGB",1766.3752216228,1695.5556640625,551.086038702298,1111.93237304688,2845.73291015625,1117.8814453125,1233.56951904297,1967.73321533203,2687.198828125
"VIR",1985.08610857664,1875.50927734375,540.238382827882,1111.2431640625,2895.41723632812,1335.47797851563,1590.43969726562,2518.07543945312,2783.12739257813
