Area,Year,Value
Anguilla,2015,14.279
Anguilla,2016,14.429
Anguilla,2017,14.584
Anguilla,2018,14.731
Antigua and Barbuda,2015,93.566
Antigua and Barbuda,2016,94.527
Antigua and Barbuda,2017,95.426
Antigua and Barbuda,2018,96.286
Aruba,2015,104.341
Aruba,2016,104.872
Aruba,2017,105.366
Aruba,2018,105.845
Bahamas,2015,374.206
Bahamas,2016,377.93
Bahamas,2017,381.755
Bahamas,2018,385.637
Barbados,2015,285.324
Barbados,2016,285.796
Barbados,2017,286.232
Barbados,2018,286.641
Bermuda,2015,63.692
Bermuda,2016,63.362
Bermuda,2017,63.049
Bermuda,2018,62.756
"Bonaire, Sint Eustatius and Saba",2015,24.57
"Bonaire, Sint Eustatius and Saba",2016,25.02
"Bonaire, Sint Eustatius and Saba",2017,25.401
"Bonaire, Sint Eustatius and Saba",2018,25.711
British Virgin Islands,2015,29.152
British Virgin Islands,2016,29.355
British Virgin Islands,2017,29.577
British Virgin Islands,2018,29.802
Cayman Islands,2015,61.724
Cayman Islands,2016,62.569
Cayman Islands,2017,63.382
Cayman Islands,2018,64.174
Cuba,2015,11324.781
Cuba,2016,11335.104
Cuba,2017,11339.254
Cuba,2018,11338.134
Curaçao,2015,159.847
Curaçao,2016,161.052
Curaçao,2017,161.997
Curaçao,2018,162.752
Dominica,2015,71.183
Dominica,2016,71.307
Dominica,2017,71.458
Dominica,2018,71.625
Dominican Republic,2015,10281.68
Dominican Republic,2016,10397.741
Dominican Republic,2017,10513.104
Dominican Republic,2018,10627.141
Grenada,2015,109.599
Grenada,2016,110.261
Grenada,2017,110.874
Grenada,2018,111.454
Guadeloupe,2015,400.255
Guadeloupe,2016,399.763
Guadeloupe,2017,399.672
Guadeloupe,2018,399.848
Haiti,2015,10695.542
Haiti,2016,10839.97
Haiti,2017,10982.366
Haiti,2018,11123.178
Jamaica,2015,2891.021
Jamaica,2016,2906.236
Jamaica,2017,2920.848
Jamaica,2018,2934.847
Martinique,2015,378.478
Martinique,2016,376.791
Martinique,2017,375.948
Martinique,2018,375.673
Montserrat,2015,4.967
Montserrat,2016,4.981
Montserrat,2017,4.984
Montserrat,2018,4.993
Puerto Rico,2015,3381.518
Puerto Rico,2016,3283.125
Puerto Rico,2017,3163.667
Puerto Rico,2018,3039.596
Saint Barthélemy,2015,9.693
Saint Barthélemy,2016,9.748
Saint Barthélemy,2017,9.784
Saint Barthélemy,2018,9.816
Saint Kitts and Nevis,2015,51.203
Saint Kitts and Nevis,2016,51.625
Saint Kitts and Nevis,2017,52.045
Saint Kitts and Nevis,2018,52.441
Saint Lucia,2015,179.126
Saint Lucia,2016,180.024
Saint Lucia,2017,180.954
Saint Lucia,2018,181.889
Saint Vincent and the Grenadines,2015,109.148
Saint Vincent and the Grenadines,2016,109.459
Saint Vincent and the Grenadines,2017,109.827
Saint Vincent and the Grenadines,2018,110.211
Saint-Martin (French Part),2015,35.858
Saint-Martin (French Part),2016,36.065
Saint-Martin (French Part),2017,36.56
Saint-Martin (French Part),2018,37.264
Sint Maarten (Dutch Part),2015,39.968
Sint Maarten (Dutch Part),2016,40.808
Sint Maarten (Dutch Part),2017,41.444
Sint Maarten (Dutch Part),2018,41.94
Trinidad and Tobago,2015,1370.328
Trinidad and Tobago,2016,1377.56
Trinidad and Tobago,2017,1384.059
Trinidad and Tobago,2018,1389.843
Turks and Caicos Islands,2015,35.981
Turks and Caicos Islands,2016,36.559
Turks and Caicos Islands,2017,37.115
Turks and Caicos Islands,2018,37.665
United States Virgin Islands,2015,104.958
United States Virgin Islands,2016,104.835
United States Virgin Islands,2017,104.751
United States Virgin Islands,2018,104.68
