"","alpha_3","flow","all_fad"
"1","ABW","Exports",8.33333333333333
"2","ABW","Imports",2011
"3","ATG","Exports",46
"4","ATG","Imports",1404
"5","ATG","Reexports",5.33333333333333
"6","BES","Exports",0
"7","BES","Imports",0
"8","BHS","Exports",78
"9","BHS","Imports",3493
"10","BHS","Production",712
"11","BHS","Reexports",1
"12","BMU","Exports",1.33333333333333
"13","BMU","Imports",1825.66666666667
"14","BMU","Production",370.333333333333
"15","BRB","Exports",199.333333333333
"16","BRB","Imports",5792.33333333333
"17","BRB","Reexports",11.6666666666667
"18","CUB","Exports",283
"19","CUB","Imports",14296.3333333333
"20","CUB","Production",17715
"21","CUB","Reexports",0
"22","CUW","Exports",20525
"23","CUW","Imports",1426.66666666667
"24","CYM","Exports",7
"25","CYM","Imports",367.333333333333
"26","DMA","Exports",7.33333333333333
"27","DMA","Imports",830
"28","DMA","Reexports",0
"29","DOM","Exports",2979.33333333333
"30","DOM","Imports",35572.6666666667
"31","GLP","Exports",0
"32","GLP","Imports",0
"33","GRD","Exports",999.666666666667
"34","GRD","Imports",566.333333333333
"35","GRD","Reexports",0
"36","HTI","Exports",196.333333333333
"37","HTI","Imports",19314.3333333333
"38","JAM","Exports",61
"39","JAM","Imports",27232
"40","JAM","Production",0
"41","JAM","Reexports",239.666666666667
"42","KNA","Exports",2.66666666666667
"43","KNA","Imports",549.333333333333
"44","KNA","Reexports",0
"45","LCA","Exports",0.666666666666667
"46","LCA","Imports",1581.33333333333
"47","LCA","Reexports",0
"48","MSR","Imports",62.3333333333333
"49","MTQ","Exports",0
"50","MTQ","Imports",0
"51","PRI","Imports",0
"52","TCA","Exports",26.6666666666667
"53","TCA","Imports",1005.33333333333
"54","TTO","Exports",4676
"55","TTO","Imports",11662.6666666667
"56","TTO","Reexports",0
"57","VCT","Exports",27
"58","VCT","Imports",431
"59","VCT","Reexports",0
